City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,STATION,NAME,Precipitation,AvgTemp,MaxTemp,MinTemp
Bangalore,2018-01-29,86,47.3,92.88,71.38,98.04,0.9,81.7,IN009010100,"BANGALORE, IN",,72,85.0,61.0
Bangalore,2018-01-30,96,52.8,103.68,79.68,109.44,1.01,91.2,IN009010100,"BANGALORE, IN",,71,85.0,60.0
Bangalore,2018-01-31,96,52.8,103.68,79.68,109.44,1.01,91.2,IN009010100,"BANGALORE, IN",,71,85.0,59.0
Bangalore,2018-02-01,89,48.95,96.12,73.87,101.46,0.93,84.55,IN009010100,"BANGALORE, IN",,71,85.0,56.0
Bangalore,2018-02-02,89,48.95,96.12,73.87,101.46,0.93,84.55,IN009010100,"BANGALORE, IN",,73,87.0,61.0
Bangalore,2018-02-03,78,42.9,84.24,64.74,88.92,0.82,74.1,IN009010100,"BANGALORE, IN",,71,86.0,60.0
Bangalore,2018-02-04,80,44.0,86.4,66.4,91.2,0.84,76.0,IN009010100,"BANGALORE, IN",,70,85.0,56.0
Bangalore,2018-02-05,69,37.95,74.52,57.27,78.66,0.72,65.55,IN009010100,"BANGALORE, IN",,71,86.0,57.0
Bangalore,2018-02-06,82,45.1,88.56,68.06,93.48,0.86,77.9,IN009010100,"BANGALORE, IN",,76,,64.0
Bangalore,2018-02-07,74,40.7,79.92,61.42,84.36,0.78,70.3,IN009010100,"BANGALORE, IN",,74,90.0,68.0
Bangalore,2018-02-08,68,37.4,73.44,56.44,77.52,0.71,64.6,IN009010100,"BANGALORE, IN",,74,86.0,67.0
Bangalore,2018-02-09,92,50.6,99.36,76.36,104.88,0.97,87.4,IN009010100,"BANGALORE, IN",0.0,76,,67.0
Bangalore,2018-02-10,84,46.2,90.72,69.72,95.76,0.88,79.8,IN009010100,"BANGALORE, IN",0.06,76,89.0,67.0
Bangalore,2018-02-11,88,48.4,95.04,73.04,100.32,0.92,83.6,IN009010100,"BANGALORE, IN",0.0,75,87.0,64.0
Bangalore,2018-02-12,72,39.6,77.76,59.76,82.08,0.76,68.4,IN009010100,"BANGALORE, IN",,74,87.0,64.0
Bangalore,2018-02-13,75,41.25,81.0,62.25,85.5,0.79,71.25,IN009010100,"BANGALORE, IN",,74,86.0,65.0
Bangalore,2018-02-14,83,45.65,89.64,68.89,94.62,0.87,78.85,IN009010100,"BANGALORE, IN",,74,86.0,64.0
Bangalore,2018-02-15,75,41.25,81.0,62.25,85.5,0.79,71.25,IN009010100,"BANGALORE, IN",,74,87.0,63.0
Bangalore,2018-02-16,73,40.15,78.84,60.59,83.22,0.77,69.35,IN009010100,"BANGALORE, IN",,75,88.0,64.0
Bangalore,2018-02-17,82,45.1,88.56,68.06,93.48,0.86,77.9,IN009010100,"BANGALORE, IN",,75,88.0,63.0
Bangalore,2018-02-18,87,47.85,93.96,72.21,99.18,0.91,82.65,IN009010100,"BANGALORE, IN",,75,89.0,64.0
Bangalore,2018-02-19,79,43.45,85.32,65.57,90.06,0.83,75.05,IN009010100,"BANGALORE, IN",,76,90.0,62.0
Bangalore,2018-02-20,79,43.45,85.32,65.57,90.06,0.83,75.05,IN009010100,"BANGALORE, IN",,73,90.0,63.0
Bangalore,2018-02-21,84,46.2,90.72,69.72,95.76,0.88,79.8,IN009010100,"BANGALORE, IN",,76,89.0,63.0
Bangalore,2018-02-22,89,48.95,96.12,73.87,101.46,0.93,84.55,IN009010100,"BANGALORE, IN",,77,89.0,64.0
Bangalore,2018-02-23,78,42.9,84.24,64.74,88.92,0.82,74.1,IN009010100,"BANGALORE, IN",,76,90.0,65.0
Bangalore,2018-02-24,79,43.45,85.32,65.57,90.06,0.83,75.05,IN009010100,"BANGALORE, IN",,74,88.0,60.0
Bangalore,2018-02-25,57,31.35,61.56,47.31,64.98,0.6,54.15,IN009010100,"BANGALORE, IN",,76,88.0,63.0
Bangalore,2018-02-26,59,32.45,63.72,48.97,67.26,0.62,56.05,IN009010100,"BANGALORE, IN",,77,90.0,64.0
Bangalore,2018-02-27,67,36.85,72.36,55.61,76.38,0.7,63.65,IN009010100,"BANGALORE, IN",,77,91.0,65.0
Bangalore,2018-02-28,81,44.55,87.48,67.23,92.34,0.85,76.95,IN009010100,"BANGALORE, IN",,77,91.0,62.0
Bangalore,2018-03-01,72,39.6,77.76,59.76,82.08,0.76,68.4,IN009010100,"BANGALORE, IN",,77,92.0,65.0
Bangalore,2018-03-02,88,48.4,95.04,73.04,100.32,0.92,83.6,IN009010100,"BANGALORE, IN",,78,90.0,65.0
Bangalore,2018-03-03,84,46.2,90.72,69.72,95.76,0.88,79.8,IN009010100,"BANGALORE, IN",,78,92.0,63.0
Bangalore,2018-03-04,86,47.3,92.88,71.38,98.04,0.9,81.7,IN009010100,"BANGALORE, IN",,79,94.0,65.0
Bangalore,2018-03-05,111,61.05,119.88,92.13,126.54,1.17,105.45,IN009010100,"BANGALORE, IN",,79,93.0,65.0
Bangalore,2018-03-06,89,48.95,96.12,73.87,101.46,0.93,84.55,IN009010100,"BANGALORE, IN",,79,94.0,63.0
Bangalore,2018-03-07,91,50.05,98.28,75.53,103.74,0.96,86.45,IN009010100,"BANGALORE, IN",,78,94.0,62.0
Bangalore,2018-03-08,103,56.65,111.24,85.49,117.42,1.08,97.85,IN009010100,"BANGALORE, IN",,78,92.0,65.0
Bangalore,2018-03-09,122,67.1,131.76,101.26,139.08,1.28,115.9,IN009010100,"BANGALORE, IN",,79,92.0,64.0
Bangalore,2018-03-10,127,69.85,137.16,105.41,144.78,1.33,120.65,IN009010100,"BANGALORE, IN",,78,92.0,65.0
Bangalore,2018-03-11,119,65.45,128.52,98.77,135.66,1.25,113.05,IN009010100,"BANGALORE, IN",,79,,67.0
Bangalore,2018-03-12,94,51.7,101.52,78.02,107.16,0.99,89.3,IN009010100,"BANGALORE, IN",,78,93.0,67.0
Bangalore,2018-03-13,76,41.8,82.08,63.08,86.64,0.8,72.2,IN009010100,"BANGALORE, IN",,78,90.0,68.0
Bangalore,2018-03-14,70,38.5,75.6,58.1,79.8,0.74,66.5,IN009010100,"BANGALORE, IN",0.0,80,89.0,72.0
Bangalore,2018-03-15,77,42.35,83.16,63.91,87.78,0.81,73.15,IN009010100,"BANGALORE, IN",0.0,78,90.0,
Bangalore,2018-03-16,52,28.6,56.16,43.16,59.28,0.55,49.4,IN009010100,"BANGALORE, IN",1.22,75,90.0,
Bangalore,2018-03-17,73,40.15,78.84,60.59,83.22,0.77,69.35,IN009010100,"BANGALORE, IN",0.0,75,90.0,66.0
Bangalore,2018-03-18,54,29.7,58.32,44.82,61.56,0.57,51.3,IN009010100,"BANGALORE, IN",0.0,76,84.0,69.0
Bangalore,2018-03-19,73,40.15,78.84,60.59,83.22,0.77,69.35,IN009010100,"BANGALORE, IN",,78,,
Bangalore,2018-03-20,114,62.7,123.12,94.62,129.96,1.2,108.3,IN009010100,"BANGALORE, IN",,80,,67.0
Bangalore,2018-03-21,93,51.15,100.44,77.19,106.02,0.98,88.35,IN009010100,"BANGALORE, IN",,81,93.0,71.0
Bangalore,2018-03-22,124,68.2,133.92,102.92,141.36,1.3,117.8,IN009010100,"BANGALORE, IN",,81,93.0,73.0
Bangalore,2018-03-23,106,58.3,114.48,87.98,120.84,1.11,100.7,IN009010100,"BANGALORE, IN",,83,,72.0
Bangalore,2018-03-24,109,59.95,117.72,90.47,124.26,1.14,103.55,IN009010100,"BANGALORE, IN",,82,95.0,
Bangalore,2018-03-25,126,69.3,136.08,104.58,143.64,1.32,119.7,IN009010100,"BANGALORE, IN",,81,,71.0
Bangalore,2018-03-26,95,52.25,102.6,78.85,108.3,1.0,90.25,IN009010100,"BANGALORE, IN",,81,93.0,69.0
Bangalore,2018-03-27,95,52.25,102.6,78.85,108.3,1.0,90.25,IN009010100,"BANGALORE, IN",,81,94.0,71.0
Bangalore,2018-03-28,118,64.9,127.44,97.94,134.52,1.24,112.1,IN009010100,"BANGALORE, IN",,81,94.0,72.0
Bangalore,2018-03-29,138,75.9,149.04,114.54,157.32,1.45,131.1,IN009010100,"BANGALORE, IN",,81,93.0,73.0
Bangalore,2018-03-30,130,71.5,140.4,107.9,148.2,1.37,123.5,IN009010100,"BANGALORE, IN",0.0,78,93.0,
Bangalore,2018-03-31,117,64.35,126.36,97.11,133.38,1.23,111.15,IN009010100,"BANGALORE, IN",0.13,79,95.0,70.0
Bangalore,2018-04-01,112,61.6,120.96,92.96,127.68,1.18,106.4,IN009010100,"BANGALORE, IN",0.0,82,92.0,70.0
Bangalore,2018-04-02,92,50.6,99.36,76.36,104.88,0.97,87.4,IN009010100,"BANGALORE, IN",,76,92.0,
Bangalore,2018-04-03,97,53.35,104.76,80.51,110.58,1.02,92.15,IN009010100,"BANGALORE, IN",0.54,79,92.0,68.0
Bangalore,2018-04-04,106,58.3,114.48,87.98,120.84,1.11,100.7,IN009010100,"BANGALORE, IN",0.0,79,89.0,71.0
Bangalore,2018-04-05,118,64.9,127.44,97.94,134.52,1.24,112.1,IN009010100,"BANGALORE, IN",,80,91.0,70.0
Bangalore,2018-04-06,116,63.8,125.28,96.28,132.24,1.22,110.2,IN009010100,"BANGALORE, IN",,81,92.0,70.0
Bangalore,2018-04-07,128,70.4,138.24,106.24,145.92,1.34,121.6,IN009010100,"BANGALORE, IN",,80,92.0,71.0
Bangalore,2018-04-08,108,59.4,116.64,89.64,123.12,1.13,102.6,IN009010100,"BANGALORE, IN",,80,91.0,70.0
Bangalore,2018-04-09,57,31.35,61.56,47.31,64.98,0.6,54.15,IN009010100,"BANGALORE, IN",,79,91.0,70.0
Bangalore,2018-04-10,66,36.3,71.28,54.78,75.24,0.69,62.7,IN009010100,"BANGALORE, IN",,80,90.0,69.0
Bangalore,2018-04-11,81,44.55,87.48,67.23,92.34,0.85,76.95,IN009010100,"BANGALORE, IN",,79,90.0,71.0
Bangalore,2018-04-12,90,49.5,97.2,74.7,102.6,0.95,85.5,IN009010100,"BANGALORE, IN",,81,92.0,71.0
Bangalore,2018-04-13,71,39.05,76.68,58.93,80.94,0.75,67.45,IN009010100,"BANGALORE, IN",,82,92.0,71.0
Bangalore,2018-04-14,74,40.7,79.92,61.42,84.36,0.78,70.3,IN009010100,"BANGALORE, IN",,83,,74.0
Bangalore,2018-04-15,97,53.35,104.76,80.51,110.58,1.02,92.15,IN009010100,"BANGALORE, IN",,83,94.0,75.0
Bangalore,2018-04-16,49,26.95,52.92,40.67,55.86,0.51,46.55,IN009010100,"BANGALORE, IN",,81,93.0,73.0
Bangalore,2018-04-17,69,37.95,74.52,57.27,78.66,0.72,65.55,IN009010100,"BANGALORE, IN",0.46,83,94.0,72.0
Bangalore,2018-04-18,89,48.95,96.12,73.87,101.46,0.93,84.55,IN009010100,"BANGALORE, IN",0.0,84,,74.0
Bangalore,2018-04-19,103,56.65,111.24,85.49,117.42,1.08,97.85,IN009010100,"BANGALORE, IN",,82,95.0,75.0
Bangalore,2018-04-20,100,55.0,108.0,83.0,114.0,1.05,95.0,IN009010100,"BANGALORE, IN",,78,93.0,
Bangalore,2018-04-21,81,44.55,87.48,67.23,92.34,0.85,76.95,IN009010100,"BANGALORE, IN",,83,95.0,72.0
Bangalore,2018-04-22,94,51.7,101.52,78.02,107.16,0.99,89.3,IN009010100,"BANGALORE, IN",0.0,79,95.0,
Bangalore,2018-04-23,74,40.7,79.92,61.42,84.36,0.78,70.3,IN009010100,"BANGALORE, IN",0.19,81,93.0,72.0
Bangalore,2018-04-24,92,50.6,99.36,76.36,104.88,0.97,87.4,IN009010100,"BANGALORE, IN",0.0,77,94.0,
Bangalore,2018-04-25,74,40.7,79.92,61.42,84.36,0.78,70.3,IN009010100,"BANGALORE, IN",0.15,80,93.0,72.0
Bangalore,2018-04-26,92,50.6,99.36,76.36,104.88,0.97,87.4,IN009010100,"BANGALORE, IN",0.02,81,,73.0
Bangalore,2018-04-27,96,52.8,103.68,79.68,109.44,1.01,91.2,IN009010100,"BANGALORE, IN",0.02,83,94.0,72.0
Bangalore,2018-04-28,95,52.25,102.6,78.85,108.3,1.0,90.25,IN009010100,"BANGALORE, IN",0.0,82,94.0,72.0
Bangalore,2018-04-29,87,47.85,93.96,72.21,99.18,0.91,82.65,IN009010100,"BANGALORE, IN",,83,93.0,75.0
Bangalore,2018-04-30,80,44.0,86.4,66.4,91.2,0.84,76.0,IN009010100,"BANGALORE, IN",0.01,81,95.0,74.0
Bangalore,2018-05-01,108,59.4,116.64,89.64,123.12,1.13,102.6,IN009010100,"BANGALORE, IN",0.22,80,95.0,71.0
Bangalore,2018-05-02,87,47.85,93.96,72.21,99.18,0.91,82.65,IN009010100,"BANGALORE, IN",0.0,80,,74.0
Bangalore,2018-05-03,85,46.75,91.8,70.55,96.9,0.89,80.75,IN009010100,"BANGALORE, IN",0.03,79,93.0,
Bangalore,2018-05-04,96,52.8,103.68,79.68,109.44,1.01,91.2,IN009010100,"BANGALORE, IN",1.55,79,92.0,67.0
Bangalore,2018-05-05,115,63.25,124.2,95.45,131.1,1.21,109.25,IN009010100,"BANGALORE, IN",0.0,81,90.0,74.0
Bangalore,2018-05-06,84,46.2,90.72,69.72,95.76,0.88,79.8,IN009010100,"BANGALORE, IN",,82,,73.0
Bangalore,2018-05-07,108,59.4,116.64,89.64,123.12,1.13,102.6,IN009010100,"BANGALORE, IN",,82,92.0,74.0
Bangalore,2018-05-08,110,60.5,118.8,91.3,125.4,1.16,104.5,IN009010100,"BANGALORE, IN",,79,92.0,
Bangalore,2018-05-09,67,36.85,72.36,55.61,76.38,0.7,63.65,IN009010100,"BANGALORE, IN",0.0,81,91.0,71.0
Bangalore,2018-05-10,64,35.2,69.12,53.12,72.96,0.67,60.8,IN009010100,"BANGALORE, IN",,78,,
Bangalore,2018-05-11,53,29.15,57.24,43.99,60.42,0.56,50.35,IN009010100,"BANGALORE, IN",,76,93.0,67.0
Bangalore,2018-05-12,65,35.75,70.2,53.95,74.1,0.68,61.75,IN009010100,"BANGALORE, IN",1.35,78,90.0,68.0
Bangalore,2018-05-13,60,33.0,64.8,49.8,68.4,0.63,57.0,IN009010100,"BANGALORE, IN",0.0,77,90.0,
Bangalore,2018-05-14,74,40.7,79.92,61.42,84.36,0.78,70.3,IN009010100,"BANGALORE, IN",0.7,75,90.0,70.0
Bangalore,2018-05-15,55,30.25,59.4,45.65,62.7,0.58,52.25,IN009010100,"BANGALORE, IN",0.65,77,89.0,69.0
Bangalore,2018-05-16,63,34.65,68.04,52.29,71.82,0.66,59.85,IN009010100,"BANGALORE, IN",0.17,79,90.0,69.0
Bangalore,2018-05-17,82,45.1,88.56,68.06,93.48,0.86,77.9,IN009010100,"BANGALORE, IN",0.0,80,88.0,71.0
Bangalore,2018-05-18,85,46.75,91.8,70.55,96.9,0.89,80.75,IN009010100,"BANGALORE, IN",,76,,
Bangalore,2018-05-19,103,56.65,111.24,85.49,117.42,1.08,97.85,IN009010100,"BANGALORE, IN",,79,,71.0
Bangalore,2018-05-20,82,45.1,88.56,68.06,93.48,0.86,77.9,IN009010100,"BANGALORE, IN",0.34,77,90.0,69.0
Bangalore,2018-05-21,68,37.4,73.44,56.44,77.52,0.71,64.6,IN009010100,"BANGALORE, IN",0.0,75,90.0,
Bangalore,2018-05-22,64,35.2,69.12,53.12,72.96,0.67,60.8,IN009010100,"BANGALORE, IN",0.37,79,,69.0
Bangalore,2018-05-23,115,63.25,124.2,95.45,131.1,1.21,109.25,IN009010100,"BANGALORE, IN",0.98,75,89.0,
Bangalore,2018-05-24,64,35.2,69.12,53.12,72.96,0.67,60.8,IN009010100,"BANGALORE, IN",0.98,79,89.0,69.0
Bangalore,2018-05-25,92,50.6,99.36,76.36,104.88,0.97,87.4,IN009010100,"BANGALORE, IN",1.3,74,90.0,
Bangalore,2018-05-26,64,35.2,69.12,53.12,72.96,0.67,60.8,IN009010100,"BANGALORE, IN",,77,,70.0
Bangalore,2018-05-27,73,40.15,78.84,60.59,83.22,0.77,69.35,IN009010100,"BANGALORE, IN",0.0,79,87.0,72.0
Bangalore,2018-05-28,64,35.2,69.12,53.12,72.96,0.67,60.8,IN009010100,"BANGALORE, IN",0.0,79,90.0,72.0
Bangalore,2018-05-29,59,32.45,63.72,48.97,67.26,0.62,56.05,IN009010100,"BANGALORE, IN",,78,90.0,72.0
Bangalore,2018-05-30,55,30.25,59.4,45.65,62.7,0.58,52.25,IN009010100,"BANGALORE, IN",0.0,76,87.0,
Bangalore,2018-05-31,69,37.95,74.52,57.27,78.66,0.72,65.55,IN009010100,"BANGALORE, IN",0.41,78,85.0,70.0
Bangalore,2018-06-01,70,38.5,75.6,58.1,79.8,0.74,66.5,IN009010100,"BANGALORE, IN",0.0,76,87.0,
Bangalore,2018-06-02,79,43.45,85.32,65.57,90.06,0.83,75.05,IN009010100,"BANGALORE, IN",0.06,75,88.0,70.0
Bangalore,2018-06-03,78,42.9,84.24,64.74,88.92,0.82,74.1,IN009010100,"BANGALORE, IN",0.07,75,,69.0
Bangalore,2018-06-04,59,32.45,63.72,48.97,67.26,0.62,56.05,IN009010100,"BANGALORE, IN",0.24,75,87.0,70.0
Bangalore,2018-06-05,56,30.8,60.48,46.48,63.84,0.59,53.2,IN009010100,"BANGALORE, IN",0.0,77,,70.0
Bangalore,2018-06-06,57,31.35,61.56,47.31,64.98,0.6,54.15,IN009010100,"BANGALORE, IN",0.0,78,85.0,71.0
Bangalore,2018-06-07,64,35.2,69.12,53.12,72.96,0.67,60.8,IN009010100,"BANGALORE, IN",0.0,75,86.0,71.0
Bangalore,2018-06-08,55,30.25,59.4,45.65,62.7,0.58,52.25,IN009010100,"BANGALORE, IN",0.0,74,84.0,
Bangalore,2018-06-09,58,31.9,62.64,48.14,66.12,0.61,55.1,IN009010100,"BANGALORE, IN",0.15,72,78.0,69.0
Bangalore,2018-06-10,53,29.15,57.24,43.99,60.42,0.56,50.35,IN009010100,"BANGALORE, IN",0.05,73,,69.0
Bangalore,2018-06-11,88,48.4,95.04,73.04,100.32,0.92,83.6,IN009010100,"BANGALORE, IN",0.08,75,,70.0
Bangalore,2018-06-12,57,31.35,61.56,47.31,64.98,0.6,54.15,IN009010100,"BANGALORE, IN",0.0,76,,70.0
Bangalore,2018-06-13,54,29.7,58.32,44.82,61.56,0.57,51.3,IN009010100,"BANGALORE, IN",,75,83.0,69.0
Bangalore,2018-06-14,59,32.45,63.72,48.97,67.26,0.62,56.05,IN009010100,"BANGALORE, IN",,74,82.0,70.0
Bangalore,2018-06-15,71,39.05,76.68,58.93,80.94,0.75,67.45,IN009010100,"BANGALORE, IN",,75,,69.0
Bangalore,2018-06-16,70,38.5,75.6,58.1,79.8,0.74,66.5,IN009010100,"BANGALORE, IN",,75,88.0,68.0
Bangalore,2018-06-17,50,27.5,54.0,41.5,57.0,0.53,47.5,IN009010100,"BANGALORE, IN",,74,86.0,70.0
Bangalore,2018-06-18,43,23.65,46.44,35.69,49.02,0.45,40.85,IN009010100,"BANGALORE, IN",,74,84.0,69.0
Bangalore,2018-06-19,71,39.05,76.68,58.93,80.94,0.75,67.45,IN009010100,"BANGALORE, IN",,75,84.0,68.0
Bangalore,2018-06-20,57,31.35,61.56,47.31,64.98,0.6,54.15,IN009010100,"BANGALORE, IN",0.0,74,84.0,69.0
Bangalore,2018-06-21,58,31.9,62.64,48.14,66.12,0.61,55.1,IN009010100,"BANGALORE, IN",,74,82.0,70.0
Bangalore,2018-06-22,65,35.75,70.2,53.95,74.1,0.68,61.75,IN009010100,"BANGALORE, IN",0.0,74,82.0,67.0
Bangalore,2018-06-23,62,34.1,66.96,51.46,70.68,0.65,58.9,IN009010100,"BANGALORE, IN",0.04,72,82.0,69.0
Bangalore,2018-06-24,59,32.45,63.72,48.97,67.26,0.62,56.05,IN009010100,"BANGALORE, IN",0.48,74,82.0,67.0
Bangalore,2018-06-25,75,41.25,81.0,62.25,85.5,0.79,71.25,IN009010100,"BANGALORE, IN",0.0,74,82.0,68.0
Bangalore,2018-06-26,58,31.9,62.64,48.14,66.12,0.61,55.1,IN009010100,"BANGALORE, IN",0.0,74,83.0,68.0
Bangalore,2018-06-27,45,24.75,48.6,37.35,51.3,0.47,42.75,IN009010100,"BANGALORE, IN",,71,82.0,68.0
Bangalore,2018-06-28,48,26.4,51.84,39.84,54.72,0.5,45.6,IN009010100,"BANGALORE, IN",,72,79.0,68.0
Bangalore,2018-06-29,42,23.1,45.36,34.86,47.88,0.44,39.9,IN009010100,"BANGALORE, IN",0.0,74,,68.0
Bangalore,2018-06-30,57,31.35,61.56,47.31,64.98,0.6,54.15,IN009010100,"BANGALORE, IN",0.0,75,,67.0
Bangalore,2018-07-01,52,28.6,56.16,43.16,59.28,0.55,49.4,IN009010100,"BANGALORE, IN",,76,85.0,69.0
Bangalore,2018-07-02,62,34.1,66.96,51.46,70.68,0.65,58.9,IN009010100,"BANGALORE, IN",,77,,70.0
Bangalore,2018-07-03,54,29.7,58.32,44.82,61.56,0.57,51.3,IN009010100,"BANGALORE, IN",0.02,76,86.0,69.0
Bangalore,2018-07-04,56,30.8,60.48,46.48,63.84,0.59,53.2,IN009010100,"BANGALORE, IN",0.0,75,84.0,69.0
Bangalore,2018-07-05,56,30.8,60.48,46.48,63.84,0.59,53.2,IN009010100,"BANGALORE, IN",,76,85.0,67.0
Bangalore,2018-07-06,62,34.1,66.96,51.46,70.68,0.65,58.9,IN009010100,"BANGALORE, IN",,73,85.0,68.0
Bangalore,2018-07-07,44,24.2,47.52,36.52,50.16,0.46,41.8,IN009010100,"BANGALORE, IN",,73,79.0,69.0
Bangalore,2018-07-08,53,29.15,57.24,43.99,60.42,0.56,50.35,IN009010100,"BANGALORE, IN",0.0,72,80.0,69.0
Bangalore,2018-07-09,56,30.8,60.48,46.48,63.84,0.59,53.2,IN009010100,"BANGALORE, IN",0.04,73,80.0,69.0
Bangalore,2018-07-10,56,30.8,60.48,46.48,63.84,0.59,53.2,IN009010100,"BANGALORE, IN",0.08,73,80.0,69.0
Bangalore,2018-07-11,68,37.4,73.44,56.44,77.52,0.71,64.6,IN009010100,"BANGALORE, IN",1.27,72,81.0,69.0
Bangalore,2018-07-12,50,27.5,54.0,41.5,57.0,0.53,47.5,IN009010100,"BANGALORE, IN",0.17,73,81.0,68.0
Bangalore,2018-07-13,45,24.75,48.6,37.35,51.3,0.47,42.75,IN009010100,"BANGALORE, IN",0.0,72,81.0,69.0
Bangalore,2018-07-14,54,29.7,58.32,44.82,61.56,0.57,51.3,IN009010100,"BANGALORE, IN",0.18,72,80.0,69.0
Bangalore,2018-07-15,56,30.8,60.48,46.48,63.84,0.59,53.2,IN009010100,"BANGALORE, IN",0.07,74,,69.0
Bangalore,2018-07-16,49,26.95,52.92,40.67,55.86,0.51,46.55,IN009010100,"BANGALORE, IN",0.0,72,83.0,68.0
Bangalore,2018-07-17,52,28.6,56.16,43.16,59.28,0.55,49.4,IN009010100,"BANGALORE, IN",0.06,72,79.0,
Bangalore,2018-07-18,49,26.95,52.92,40.67,55.86,0.51,46.55,IN009010100,"BANGALORE, IN",0.0,75,,67.0
Bangalore,2018-07-19,50,27.5,54.0,41.5,57.0,0.53,47.5,IN009010100,"BANGALORE, IN",,73,83.0,
Bangalore,2018-07-20,43,23.65,46.44,35.69,49.02,0.45,40.85,IN009010100,"BANGALORE, IN",0.0,73,81.0,69.0
Bangalore,2018-07-21,49,26.95,52.92,40.67,55.86,0.51,46.55,IN009010100,"BANGALORE, IN",0.0,73,80.0,69.0
Bangalore,2018-07-22,56,30.8,60.48,46.48,63.84,0.59,53.2,IN009010100,"BANGALORE, IN",0.01,74,,69.0
Bangalore,2018-07-23,48,26.4,51.84,39.84,54.72,0.5,45.6,IN009010100,"BANGALORE, IN",,73,83.0,
Bangalore,2018-07-24,65,35.75,70.2,53.95,74.1,0.68,61.75,IN009010100,"BANGALORE, IN",,74,,69.0
